district,order,latitude,longitude,height
1,1,-83.3781071277315,33.89243473986625,0
1,2,-83.37224316092339,33.88755553135503,0
1,3,-83.3663714531054,33.88901454428905,0
1,4,-83.35700165933038,33.87682989948327,0
1,5,-83.34643875967171,33.87877004369533,0
1,6,-83.33355722767992,33.87341263901455,0
1,7,-83.32416614664038,33.86851626235978,0
1,8,-83.32652063061897,33.86169480084882,0
1,9,-83.32299552933419,33.85631440981072,0
1,10,-83.3124313179913,33.85776256650787,0
1,11,-83.30186879080074,33.85335345214767,0
1,12,-83.28895848586212,33.85333338254718,0
1,13,-83.27723175811614,33.85136779024132,0
1,14,-83.24083366016467,33.90393925658786,0
1,15,-83.25019601235098,33.9127205286261,0
1,16,-83.26131405307322,33.92491132117672,0
1,17,-83.26949040437231,33.9356377599626,0
1,18,-83.27770523804077,33.94683932041158,0
1,19,-83.27769492457243,33.95559472110288,0
1,20,-83.27063940307296,33.95850588712617,0
1,21,-83.26651837391617,33.96385195004049,0
1,22,-83.26592775936493,33.97017082129707,0
1,23,-83.26765379724864,33.97456704528698,0
1,24,-83.27411725487607,33.97748909421045,0
1,25,-83.26997435910312,33.98236364495693,0
1,26,-83.26812786678826,34.00088892035927,0
1,27,-83.25928591399814,34.00041147835388,0
1,28,-83.26456735713433,34.00625808557854,0
1,29,-83.27636388276706,34.00429132401234,0
1,30,-83.29224153502874,34.00817546403955,0
1,31,-83.28990216358372,34.00427892156477,0
1,32,-83.29346004697292,33.99647945741174,0
1,33,-83.30170103525161,33.9867574839945,0
1,34,-83.31128218013056,33.97163701950266,0
1,35,-83.30153366535016,33.96885389710553,0
1,36,-83.3079804228516,33.96063039168767,0
1,37,-83.30534769865136,33.9479102229275,0
1,38,-83.31402107579483,33.94294673857411,0
1,39,-83.31468684014186,33.93577484651434,0
1,40,-83.31075490747487,33.91997134737884,0
1,41,-83.30003209287317,33.9191831518648,0
1,42,-83.29606510640996,33.90590424790084,0
1,43,-83.30671815954901,33.90813319113594,0
1,44,-83.31405068902211,33.90593208152697,0
1,45,-83.32402887412293,33.91258426990446,0
1,46,-83.32936315051255,33.90927412174855,0
1,47,-83.34668597720218,33.91427188484115,0
1,48,-83.36002388431866,33.90875584055619,0
1,49,-83.37404149792805,33.89272952055336,0
1,50,-83.3781071277315,33.89243473986625,0
10,1,-83.38793697420945,33.94311079738659,0
10,2,-83.38797431514917,33.9469014464132,0
10,3,-83.39208612540361,33.94846988939744,0
10,4,-83.3991940657821,33.94800636081437,0
10,5,-83.40693494002134,33.94681009446877,0
10,6,-83.40980236328072,33.95057798135782,0
10,7,-83.4151715897945,33.94924086991983,0
10,8,-83.42418976486523,33.94713354406117,0
10,9,-83.4306581730817,33.94686454652636,0
10,10,-83.43751074361607,33.94529536560219,0
10,11,-83.44667610548515,33.94260308163733,0
10,12,-83.45433537386562,33.94048991852219,0
10,13,-83.4618647776615,33.94038404216614,0
10,14,-83.46708669885064,33.93617779629058,0
10,15,-83.46748756878976,33.93095560317563,0
10,16,-83.46495614005616,33.92670579588271,0
10,17,-83.46140876295821,33.92837629612058,0
10,18,-83.45274850006847,33.9256502597081,0
10,19,-83.44852051277552,33.92696327874213,0
10,20,-83.44483567449677,33.92593624452348,0
10,21,-83.43899627367186,33.92387891098409,0
10,22,-83.43412209626713,33.92484688923496,0
10,23,-83.43077478981627,33.92722192391691,0
10,24,-83.42716413800981,33.92800038751941,0
10,25,-83.42074737989584,33.92809623071658,0
10,26,-83.41919222841403,33.92543525372341,0
10,27,-83.41828177256227,33.92276636048415,0
10,28,-83.41352814369372,33.91928164345599,0
10,29,-83.4105589670817,33.91985794445054,0
10,30,-83.40473951721032,33.9153517764114,0
10,31,-83.40197121052573,33.91468532773701,0
10,32,-83.40194046010609,33.91274954713192,0
10,33,-83.39682850642288,33.91071264381368,0
10,34,-83.39383805939401,33.90847456867736,0
10,35,-83.39359550096208,33.90497737707127,0
10,36,-83.39151446688898,33.90885883487556,0
10,37,-83.39367961975195,33.91392546395798,0
10,38,-83.39433831554399,33.91620924853734,0
10,39,-83.38988769580909,33.91857424866178,0
10,40,-83.38947201851842,33.92053119203797,0
10,41,-83.39309914891184,33.9204753632521,0
10,42,-83.39483463141897,33.92364636379396,0
10,43,-83.3976099993438,33.92558093096848,0
10,44,-83.4027367784542,33.92641445018478,0
10,45,-83.40598524745029,33.9286840678602,0
10,46,-83.40646874036572,33.93263253473962,0
10,47,-83.40823935420366,33.93565314151147,0
10,48,-83.40204662226999,33.9380774937326,0
10,49,-83.39261012845095,33.93855258047373,0
10,50,-83.39607743285413,33.9413926249276,0
10,51,-83.39158649665123,33.94306847823393,0
10,52,-83.38793697420945,33.94311079738659,0
2,1,-83.3393320915476,33.92722970863473,0
2,2,-83.33423821272113,33.93206253626438,0
2,3,-83.32694314385499,33.93624998239844,0
2,4,-83.32291528410221,33.93970734304494,0
2,5,-83.3174077857697,33.93751599530206,0
2,6,-83.31390970359074,33.94028174427876,0
2,7,-83.31369176601397,33.94300541880977,0
2,8,-83.3053130617472,33.94810734238392,0
2,9,-83.30800796095184,33.95963452449673,0
2,10,-83.30242600241479,33.96787893697983,0
2,11,-83.31482697431008,33.9722244181125,0
2,12,-83.32663779559013,33.97504219716458,0
2,13,-83.33436392698783,33.97833174281478,0
2,14,-83.34257642031528,33.97888698052883,0
2,15,-83.34676816268778,33.98314079702143,0
2,16,-83.35213824529494,33.97852261520415,0
2,17,-83.36416172199705,33.97834839564908,0
2,18,-83.37081312859461,33.96693822265501,0
2,19,-83.3659746572158,33.9574757841016,0
